Order_Id,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Platform,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Final_Amount,Payment_Method,Order_Status,Delivery_Days,Rating,Brand,Cost,Profit,Profit Margin (%),Warehouse,Courier Partner,Order Priority,Return Reason
ORD112890,1/1/2024,CUST4390,Suresh Singh,Male,23,Gurugram,Haryana,Amazon,Grocery,Dairy,Haldiram Bhujia 400g,479.44,1,30,143.83,335.61,Cash on Delivery,Delivered,3,5,HP,192.19,143.42,42.73,Delhi WH,DTDC,Medium,Damaged
ORD105727,1/1/2024,CUST8574,Pranav Sen,Male,32,Ahmedabad,Gujarat,Amazon,Grocery,Snacks,Tata Sampann Toor Dal 1kg,86.99,3,15,39.15,221.82,Net Banking,Delivered,3,3,Apple,173.96,47.86,21.58,Mumbai WH,Delhivery,Medium,Wrong Item
ORD118317,1/1/2024,CUST7138,Anil Patel,Male,60,Mumbai,Maharashtra,Ajio,Electronics,Laptops,boAt Airdopes 141,1020.68,1,50,510.34,510.34,Credit Card,Delivered,3,5,Nike,333.61,176.73,34.63,Bengaluru WH,Blue Dart,High,Damaged
ORD107766,1/1/2024,CUST3783,Anita Mukherjee,Female,39,Delhi,Delhi,Ajio,Fashion,Women's Clothing,Cotton Kurta,1626.6,1,0,0,1626.6,UPI,Delivered,6,4,HP,934.38,692.22,42.56,Mumbai WH,DTDC,Low,Late Delivery
ORD118212,1/1/2024,CUST7266,Riya Sen,Female,24,Patna,Bihar,Meesho,Electronics,Cameras,Dell Inspiron 14,1794.26,1,15,269.14,1525.12,UPI,Delivered,7,5,Samsung,1277.44,247.68,16.24,Mumbai WH,DTDC,Low,Late Delivery
ORD104249,1/1/2024,CUST1206,Siddharth Roy,Male,48,Jaipur,Rajasthan,Myntra,Grocery,Staples,Haldiram Bhujia 400g,268.59,1,15,40.29,228.3,Credit Card,Returned,3,3,Boat,181.52,46.78,20.49,Kolkata WH,Ekart,Medium,Wrong Item
ORD101459,1/1/2024,CUST7670,Aarti Patel,Female,40,Gurugram,Haryana,Meesho,Books,Self-Help,Wings of Fire,169.56,2,0,0,339.12,UPI,Delivered,4,4,Apple,205.67,133.45,39.35,Bengaluru WH,Delhivery,Medium,No Return
ORD100875,1/1/2024,CUST8058,Simran Mukherjee,Female,47,Pune,Maharashtra,Meesho,Electronics,Mobiles,Realme Buds Air 3,893.4,1,20,178.68,714.72,UPI,Returned,5,2,Dell,568.13,146.59,20.51,Mumbai WH,DTDC,Medium,Late Delivery
ORD106964,1/1/2024,CUST2160,Amit Gupta,Male,35,Vadodara,Gujarat,Myntra,Home & Kitchen,Cookware,Storage Rack,2998.19,2,30,1798.91,4197.47,Cash on Delivery,Delivered,6,3,Dell,2665.15,1532.32,36.51,Kolkata WH,Ekart,Medium,Damaged
ORD119440,1/1/2024,CUST1259,Amit Iyer,Male,60,Vadodara,Gujarat,Amazon,Electronics,Headphones,Realme Buds Air 3,39164.79,2,15,11749.44,66580.14,UPI,Delivered,3,5,Boat,39018.28,27561.86,41.4,Bengaluru WH,Blue Dart,High,Wrong Item
ORD114474,1/1/2024,CUST3246,Aarti Iyer,Female,28,Delhi,Delhi,Amazon,Books,Non-Fiction,NCERT Class 10 Set,850.99,1,0,0,850.99,Debit Card,Delivered,5,1,Dell,468.74,382.25,44.92,Kolkata WH,Blue Dart,Low,No Return
ORD119173,1/1/2024,CUST3972,Pooja Chatterjee,Female,52,Guwahati,Assam,Snapdeal,Fashion,Men's Clothing,Kids T-Shirt Combo,567.61,1,20,113.52,454.09,Credit Card,Delivered,4,5,Nike,300.72,153.37,33.78,Bengaluru WH,Delhivery,Medium,No Return
